,timestamp,valid_breakout,valid_breakdown,max_price_change,closing_price_change
35,2023-01-06 12:00:00,True,False,1.1886594595750106,0.5914201327488717
107,2023-01-18 12:00:00,False,True,-3.020425581661686,-0.7902491739427389
119,2023-01-20 12:00:00,True,False,10.361900365906084,8.76874044976607
151,2023-01-25 20:00:00,True,False,0.9606286647465476,-0.22241070832323936
159,2023-01-27 04:00:00,True,False,1.8516632376606692,-0.35219004913585167
178,2023-01-30 08:00:00,False,True,-2.5023106952365275,-0.9188182240080948
192,2023-02-01 16:00:00,True,False,3.7159427503389777,1.781322920261225
204,2023-02-03 16:00:00,False,True,-0.44349598571134885,0.5058351234919777
233,2023-02-08 12:00:00,False,True,-2.267242268807481,-1.14260580930279
267,2023-02-14 04:00:00,True,False,2.5293451816571584,1.5683685769516287
302,2023-02-20 00:00:00,True,False,2.8759631351880355,2.078754409997156
310,2023-02-21 08:00:00,False,True,-2.918996306082785,-1.676485777177487
342,2023-02-26 16:00:00,True,False,1.6964738994686221,-0.9488781169505819
368,2023-03-03 00:00:00,False,True,-0.7737114628384117,0.12083501159738852
387,2023-03-06 04:00:00,True,False,0.9353477957587909,0.1204408214447965
394,2023-03-07 08:00:00,False,True,-2.2857569811131637,-1.2463413302838067
424,2023-03-12 08:00:00,True,False,10.538149601157812,8.125092013227402
